,target,text
1264,1,【临武县县长是维稳学硕士学位】临武县委副书记、县长 贺遵庆的百度个人资料简历：其中有两句“在职研究生学历，维稳学硕士学位”。[晕][晕][吃惊][吃惊]打死瓜农、抢走尸体、围殴记者⋯⋯原来人家是维稳高材生！
1434,0,一码事归一码事的来谈 我之前根本不知道鹿晗是谁 发生了脑残粉时间后 我去百度了一下 匆匆一眼 长得挺好 只看到是韩国什么团体之后就没兴趣再看 我对韩国团体一直没什么感觉  因为之前微博也... http://t.cn/zTizCNB （使用新浪长微博工具发布 http://t.cn/zOXAaic）
960,1,【内幕出来了！笑的我眼泪都出来了！】 在我的再三哀求下，央视铁哥们在一番请示之后，终于截图给我了....（真不能怪何润东！润东同学的确是把最后一句删掉了！） 终于见识到什么是笨蛋了！哈哈！！艾玛，我得出去跑跑步，笑的我肚子痛死了.........（via：笑话大王彭彭）
1970,1,CNN北京时间3月13日10时48分向全球抢先发布独家消息：由美国CIA参与的调查显示，已失联五天的吉隆坡飞往北京的马来西亚航空公司MH370航班系于2014年3月8日凌晨2时21分被马来西亚军机击落并坠毁于马来西亚槟城西北200英里的马六甲海域，最后发出攻击命令的是马来西 我在:http://t.cn/8sZVuO2
3377,0,【国土部拟全国推广土地问责连坐制】此机制下，一旦土地违法违规案件不能得到有效处置，各部门第一责任人将承担直接责任而面临上一级政府监察部门包括约谈、处分、引咎辞职直至免职的严厉处罚。公安、司法、纪检、监察等超10个行政部门主要负责人，被确定为共同管理责任机制的主要责任人。(中国经营报)
2778,1,【紧急通知】新版假币又来了!千万不要上当了，果断转给身边的朋友吧~ By曼布网
1696,0,"弥补昨晚的,因为中国时间你们还没到今天呢.晚安[呵呵]"
267,1,【京HL2021 想火就帮帮你喽】北京，一名外国大姐挡在一辆驶入非机动车道的京HL2021车前，微笑着劝说司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在了路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐.....
2532,1,云南一只母猪生下8个小孩=震撼全世界！更多奇猪异事请点击http://t.cn/zjhZUwC
2672,0,何为平淡才是真？当你欢愉的时候，回头看到他在身边。午夜梦回，泪湿了枕巾，他在旁边，伸手就能触摸到温热的身体，听到他的呼吸，瞬间一颗心落回到胸腔里。世间女子，最终求的，不过是如此。—— 十二《不畏将来 不念过去》
2521,0,"【美国正寻求从香港引渡斯诺登 或将耗3-5年】美国已对目前藏身于香港的斯诺登以间谍等罪名提出刑事起诉。消息称,美国已准备好提出引渡申请，每项控罪最高刑罚监禁十年。有香港律师说,如果展开引渡聆讯，过程可能要3至5年，法庭要考虑香港是否有相同控罪，否则美国不能引渡斯诺登。http://t.cn/zHrkddq"
2906,0,多想有一天醒来，阳光在，明媚在，爱情在，你在。。。[月亮]  晚安
65,0,上周一个剑网3的玩家找我，说FPS不高，配置，Core 2 E7400，Nvidia 260/460显卡，内存也ok，我当时的建议就是CPU的主频不够，经过BIOS设定发现，这个CPU被设置成2.27G，其实标准应该是2.8G，后来通过不断尝试，稳定超频到3.5G，打JJC的时候FPS从30左右提升到60+，剑网3是一个对CPU主频要求高的游戏。
502,1,[抓狂] 转：【人民网揭出惊天黑幕：中国75%电表都被蓄意加速】针对供电计量上的“缺斤短两”，国家技术监督局对全国17个省的企业生产的34种电表进行了抽检，发现，75％的电表都出现了正误差。偏差最大的要快28％，大多数快10％左右，也就是说居民要无端地多掏10％—28％的电费！ @全球新鲜资讯
5,0,【爆料！上海惊现“靴子楼”！】北京“大裤衩”，苏州有“大秋裤”，在魔都，有网友又发现一处奇楼，远观，活脱脱一只马靴。这正是：山外青山楼外楼，一楼更比一楼牛。“靴子楼”在哪里？你看到过吗？via@stv新闻夜线
2774,1,。。。原来还有后续的
2743,0,2003年，美国摄影师Bob Carey的妻子患了乳腺癌。为了让她开心，他穿上粉红芭蕾短裙拍了一系列照片。他说，癌症让我们知道生活美好而艰难，有时唯一能做的是笑着面对并和他人分享。他把这组感动了无数人的照片结集成书，希望筹集7.5万美元捐给公益组织。你能帮助他吗？这是他的网站http://t.cn/zOKDkdX
1770,0,在家里吃的饭才叫吃饭...在学校和单位吃饭纯粹就是为了生存..[挖鼻屎].[可怜]点击关注@下一秒你就震惊了 [被电]
1448,1,北京开车族注意：今天下午六点开始，全市高清探头全部启用，副驾驶不系安全带相同处罚，开车时打电话罚款50元，闯黄闪罚款200，越线停车罚款100， 晚六点至深夜2点，为期60天的全国交警集中查处酒驾，一经查获，一律拘役六个月，五年内不得考证。
121,1,【老小子走了！李登辉今天凌晨心脏病复发身亡】台北消息：原国民党、台联党主席，有“台独教父”之称的李登辉，今天凌晨在其家中因心脏病复发抢救无效死亡。
537,0,戴菊，顾名思义就是头上戴着菊花（……。）体长8～11厘米左右，所以这坨毬毬实际大小通常还不如在电脑上看到的大……
1982,1,"尼古拉斯·凯奇（Nicolas Cage,1964年1月7日－2013年1月17日）因滑雪事故去世[蜡烛]”Nicholas Cage Dies In Snowboard Accident“http://t.cn/zjDQCQf 大导演弗朗西斯·科波拉的侄子,获奖无数,个人心中的佳作:鸟人,我心狂野,倾城佳话,空中监狱,天使之城,火柴人,战争之王,变脸[蜡烛]"
1560,1,[围观] 印度一妇女一次产下11胞胎，创世界记录[威武] [威武]
2552,1,【反腐女侠杨琳被自杀】杨琳女士10月23日在西安新城广场维权律师唐荆陵发起的“全民不日，合作反腐败抗议书”被警察抓走。10月31警方通知杨琳家属，她己自杀。家人看到时她己昏迷一天一夜并且浑身青紫。信息封杀很严重，直到现在开始披露！紧急求证，请网友彻查，追究责任人，不可饶恕！
2835,1,【这个哥们儿太生猛了！】据@顶尖设计 微博称，成都高新某公司老板遭奸杀。12月7日19时高新区一青年男子将另一男子奸杀。行凶者系景观设计师，应不满多次改图和无偿加班而情绪失控对老板行凶。。。（via四川身边事）【评】多次改图。。。无偿加班。。。一青年男子将另一男子奸杀。。。
931,1,【孔子诞辰】今天是9月28日，孔子2563年诞辰。1939年国民政府将孔子诞辰日为教师节。现联合国教科文组织及中国台湾和香港教师节，都定在孔子诞辰日9月28日。在此呼吁，将教师节改为每年的9月28日，这不仅仅是为了纪念一位伟大的老师，更希望以此唤醒国人对一个伟大和悠久的文化传统的尊重和信奉。
3039,0,我直接绝句了~~估计只有西安人听懂~~~《西安Style》  http://t.cn/zldEjJk  （分享自 @土豆网音乐）
3368,0,女人黄金期的肌肤护理还真是不敢小觑，稍不留神便给你颜色看。最近在密集用的羽西虫草日、晚霜，原本嘴角的细纹特别明显，现在照镜子看一点痕迹也没有了！真的一点也不夸张哦~特别喜欢太阳月亮的图案设计让我不会轻易混淆，太贴心了！  
1519,0,【O2O+游戏平台：微信的商业化猜想】面向未来，已经拥有2亿用户的微信是马化腾的一副好牌。拥有一副好牌的马化腾也很迷惘，拥有2亿用户的微信将怎么赚钱？多位业内人士表示，他们认为马化腾应该这样出牌，未来生活服务电商和游戏平台很应该成为微信最主要的盈利来源。http://t.cn/zjAy9qn
2969,1,【袖珍小猴走红网络，高智慧宠物“不好养”】昨天，一只宠物猴的照片风靡网络。据了解，这种猴名为“石猴”，系国家唯一允许个人饲养的宠物猴，但必须在合法商贩处购买。但石猴并不易养，有网友表示：石猴性格太过活泼，“很皮，模仿力很高，有的时候会自己打开煤气阀门，拿着打火机玩，很危险！”[衰]
19,1,【河南强拆：22岁少女讨说法被禽兽马路上扒光衣裳示众】河南许昌市东城区“恒达·名门尚居”强拆现场，禽兽拆迁人员扒掉戚小芳（22岁）的上衣羞辱。记者连线打人者，打人者称：“我以一个共产党员保证，没有打她。”戚小芳报案，警方也不给任何说法。 求辟谣，去转发!!!! ​
3236,1,赵普因曝光皮鞋酸奶，封杀几个月差点被革职；曝光地沟油的记者李翔身中10余刀被惨杀；中国药品打假第一人高敬德在北京被派出所接走，3天后离奇死亡；曝光毕节五名流浪儿童被冻死的记者李元龙昨天也秘密失踪；曝光三聚氰胺的乳业打假第一人44岁的蒋卫锁遇害身亡···魔高万丈，道已沉睡？@郭晏平
281,1,【紧急通知！大家千万谨慎购买樱桃！ 】今年樱桃里寄生了一种蛆虫，几乎大部分的樱桃里面都有。实验方法：找最好看最新鲜的樱桃，放透明玻璃杯中，倒进水去后放点盐，大约2分钟就会看到这些蛆虫从完好的表皮往外钻。求扩散！（转）【评】太恶心了~~还有什么能吃的？！扩散！@李小朋V @摆古论今
589,0,【阳光直射广州原点 今日“立竿不见影”】今日中午12时26分42秒，在广州历史上，阳光第一次垂直射向广州原点。把矿泉水瓶竖直放在地面上，从中午11时开始，日影出现在西面，并且日影会越来越短。12时26分42秒，日影消失，便是“立竿不见影”的趣景。http://t.cn/aKXtun
3005,1,二月十八号下午 酒泉中学一名同学不满学校 自购炸药炸毁学校一栋教学楼。此事已被中央高度重视。这么多年来 炸学校的心愿终于被达成了！！
2091,0,小时候有那种又细又长的吸管，一毛钱一米，我买两米!在课桌上凿个孔，上课把吸管从袖筒绕进桌屉里的饮料偷喝，有次老师发现了从讲台走过来，我赶紧努力喝！结果她走到，我喝完，她把我吸管和饮料瓶收走了。还有次我上课漱棒糖，老师揪着棒让我撒嘴，我把糖咬碎咽了她把塑料棒收走了。大家被老师收过啥?
3337,0,今天深圳场来了1000多人实在出乎意外，今天脸被戳爆，手签抽筋，感谢大剑网3的玩家对我们的几乎狂热的支持，只因为你们我们才能一直进步，让我们一起祝福大剑网3[呵呵] 我在:http://t.cn/zRfMqWj
2487,1,【爆炸消息：中国移动9月1日起对微信微博收费】两种收费标准：1，包月10元/月；2、按条数收费，100条以下免费，600条5元，600至1200条10元，超过1200条每条收两分钱。联通牵手百度制衡微信，电信与网易合作以翼信对抗微信；转发自@当代章鱼哥
1161,1,#蜘蛛侠裸体现身中国#为一时的快活，河北省审计厅厅长助理董建柱跟女部下偷欢时被女部下的爱人堵在门外，情急之下不得不从8楼女部下家窗户爬出裸体逃跑，洋相百出。 http://t.cn/zYbam1M微评：1、在#感动中国#官网看到此条旧闻很有喜感；2、后事如何？@媒体人肖执缨
3080,0,#盟盟说晚安#今天是感恩节。无意凑洋节的热闹，却不失为提醒：该感谢父母无怨无悔的大爱，师长不倦不怠的教诲，朋友不离不弃的支持，生活如意不如意带来的成长。对帮过自己的人说声感谢，再将收获过的善意给予他人。感恩之心让生活变得温和，让心灵感到富足。别吝啬那句“谢谢”。[心] 晚安！
2736,1,可恶的日本鬼子
972,1,【新闻联播：火车盒饭只要5元！ 你吃过吗？】《新闻联播》记者亲身登上火车，报道火车上的东西一点都不贵。网友吐槽：“央视记者是怎么买到火车票的？”、“能不能别逗了？5元太能扯了！最便宜矿泉水都要五块以上，还能买盒饭？播新闻联播的人难道没做过火车？”【Z】
613,0,【囧大发！美女相亲装矜持没吃饱 补啃鸡腿被撞见[汗] 】小曾首次相亲，男方邀她吃午饭。小曾为给对方留下秀气的印象，吃饭时故作矜持只吃了一点蔬菜和半碗饭。事后小曾跑到洋快餐店大嚼鸡腿，正巧相亲对象从门外走过……面面相觑，小曾尴尬至极，只得擦嘴出门。结果呢？http://t.cn/8FIytSp 楚天都市报
2020,1,成都今天疯了，小日本[怒]
1643,1,【转自微博】他死了，为保护一群陌生人。而这群被保护者事后一拥而散，无人愿做目击证人。22日，天津50路公交出现小偷，司机提醒乘客小心。结果，在全车人围观中，被小偷连捅数刀。受伤后，他被独自留在工作多年的公交上，流干了血，去世。 @上海派對SHClubbing
169,0,【流言证实：“键盘记录器”确实存在，而且可能比我们想象的更强大】有关“键盘记录器”的流言再次在微博流传，不少网友对此表示怀疑，觉得看起来很不科学。一位@果壳网 网友试用，并写下使用报告。报告看来，结果惊人……点击图片了解详情。扩散提醒自己的小伙伴们吧！@人民日报   
2950,0,我瘦了，头发长了，性格开朗了，爱说爱笑了，心变坚强了，对自己有信心了，不喜欢在人前哭了，学会伪装了。一切都变了，却发现那份最初的单纯，善良，爱脸红还一直一直陪着我。原来我始终没变，变的只是心情...... (转)  
453,0,【中国人说英语为什么听起来没有礼貌？】老外们时常议论，很多中国人在说英语时，听起来没有礼貌；并不是这些中国人本身没礼貌，而是他们还没有习惯英语的礼貌表达方式……「转」
1529,0,我们不能永远年轻，永远热泪盈眶，却依然对一个更美好的世界怀有乡愁。——李海鹏《佛祖在一号线》Photo by joesee.
2101,0,#晚安#你身处什么样的圈子，你就会遇到什么样的人；你结交了那些朋友，你脾性也会慢慢接近这样的人；你处在什么位置，站在什么高度，决定了你是怎么样的视野；内心多大的格局，你就可以看到多大的天空。你没有碰到你期望的人，是因为你还没有准备好你自己。
2834,0,时间会告诉你一切真相。有些事情，要等到你渐渐清醒了，才明白它是个错误；有些东西，要等到你真正放下了，才知道它的沉重。
2203,1,【我们结婚吧[心]】通过长达十天两会的召开.新的婚姻法中规定 男女双方只要年满18周岁就可以结婚.并不是之前女方满20周男方满22周.如今结婚证是国家级证书.高考时还可加3学分.现在在大学期间结婚.学费还可减半;跨民族结婚 生一个孩子奖励一万.想早婚的童鞋可以考虑起来了。via：乐婚礼
1719,0,【狼与羊的思考】狼每天要吃掉一只羊，又不想羊群反抗。他把羊群分为胖羊和瘦羊，想吃瘦羊时，他就在胖羊群里喊：你们说，我是不是应该吃掉一只瘦羊？，他立刻会得到众胖羊的支持.当他想吃胖羊时，就会站在瘦羊堆中如法炮制.最后，只剩下最后一只羊了，他当然反对被吃，但是他的发言已经不重要。@查立
2790,0,拿昨兒炒菜用剩的拍了一組作料，蔥，姜，蒜，辣椒，花椒，八角，百度科普了你也科普了自己。
2549,1,#刘翔摔倒案#刘翔的7步上篮法是针对起跑点到第一个高栏的距离13.72米，英国人把第一个高栏改到了13.85米的距离所以刘翔第一脚就踩栏了，这也导致最后小组有4个人踩栏摔倒。今年110米栏，每个栏高了4.3㎝，原因是奥组委考虑到比赛时刮风下雨的可能性，在栏底增加了吸水的材料，这解释合理么？ ​
2335,1,2013年3月5日，《明报》做了题目为《如果有来生，你愿不愿意再做中国人？》的投票调查，截止4月18日晚8时的投票结果是，在89896名投票中，竟然有高达92%的网民称来生不再愿再做中国人！不做中国人的理由是：做中国人没有尊严、没有公正、没有希望。
685,1,有同行已经在微博上证实了，是苹果的对手出了高价钱，花了两千多万，借助央视这个特殊的平台，和315这个特殊的日子，猛黑苹果。微博首发的大号，开价基本在15万一条。 ​
2514,1,【提醒！花露水属易燃品 涂完别马上做饭】夏天来了，蚊子也来了，需注意的是：花露水属易燃品，涂抹完之后不要马上做饭、抽烟等。花露水的酒精浓度达70%-75%；且燃点低，一般24℃就能燃烧。花露水燃烧有多可怕？看动态图就知道了。切记！速速转走。[爱心传递]（转）
2721,0,"「投资者的悲苦不在暴跌而在于被遗弃」好不容易熬到大小非炸弹扔了差不多了，疲惫之中抬头一看，楼上一圈肥头大耳的人个个举着砖头,迫不及待地扔下来，他们分别是PE、VC、xx板、xx板"
2744,0,一座城市，两人转身，一次离别，两座城市，时间久了，距离远了，痴恋灭了，回忆淡了，如今只是透过思念还觉得温柔。剪一段烛光，独坐一隅，梦一段红尘，思忆一番。其实，早就已经懂了，回不去的日子犹如倒映在天蓝色湖面的孤单的影子，有影无踪。
1790,0,【韦德推特谈受伤】热火胜雄鹿的比赛中，韦德被对方的桑德斯撞倒在地，导致脖子扭伤（视频：http://t.cn/zYd1nIc），赛后韦德在推特中表示，“录像上看到摔的那一下了，那真是我职业生涯中最恐怖瞬间，上帝对我真好，本想我应该患上脑震荡或其他的伤病，桑德斯跑回来关心我值得称赞，很有体育精神。”
1387,1,新高一的，考好考惨以后都得考全国卷了，而且不分文理了，共九科，祝你们幸福！新高二的，会考加大难度和监考难度，会考成绩计入高考总分，祝你们幸福！新高三的～英语听力、体育都加入总成绩啦！祝尔等幸福！新毕业的、恭喜咱们很荣幸的都没赶上、回家吃捞面和好好奋斗吧！别辜负上天给咱们的福分啊！
2003,0,【十二星座哪部位最有魅力】白羊座（小腹）、金牛座（臀部）、双鱼座（眼睛）、双子座（嘴巴）、摩羯座（有骨头地方）、狮子座（胸膛心跳的地方）、处女座（胸部）、天秤座（腰部）、天蝎座（双腿）、射手座（脖子）、巨蟹座（手指）、水瓶座（脑袋） (跟 @两性女导师 学几招，每个夜都美好[害羞]）
2954,1,神秘】他们有钱，有权，有势，有名，唯一没有的就是安全感。一本美国护照好比传说中的软猬甲，金钟罩铁布衫，给他们一种贴身的安全感，使他们游走于正邪善恶间时刀枪不入，辗转腾挪时毫发无伤。美国护照真是一部通往武林至尊宝座必修的神功秘籍呀。杨澜终于承认自己是美国国籍的人大代表了。
3199,1,#重庆提醒# 好黑人，别用正在充电的手机接听电话！关爱自己，切记！！
1865,1,"摸奶节是中国云南双柏县鄂家镇彝族传统文化的庆典就是农历的7月14日、15日与16日这三天，包括外来的游人,如果在街上遇见喜欢的女子，都可以摸一摸女子的胸部。姑娘们表面躲躲闪闪，但决无责怪之意因为这是他们这个地区的百姓延续了1000多年的风俗。小伙子以摸到奶为吉祥，姑娘们以被摸而高兴。"
2188,1,云南省昆明市宜良县的一个小山村发生一件怪事，一只母猪居然生下8个男婴儿。在场所有人都不敢相信自己的眼睛！各国专家赶到现场后都无法解释这一奇特迹象！这将成为世界历史上的又一个未解之迷！
3292,0,#天台爱情#夜半听着纯音乐，看到了这个图片让我不禁的心疼了起来，杰伦你又不舒服了吗？为了这部影片你的付出，超出了常人的想象。做为一名普通的杰迷，我一定会带着朋友会去影院支持你的作品。用心去爱这个男人，是我一生的功课。Jay is a part of my life，这句话，早已深深的刻在了我的心里！
2029,0,#间桐雁夜#的话……大概会失去参加#人生系列#的资格吧……
1532,0,"【视频】[2013.10.14] 娱网 S.H.E Together Forever演唱会 香港站-第二场 《约定》+Talking 清晰版http://t.cn/zR5omll [泪流满面]好好听！ 馥甄：「为了要你们“喜欢”这句话,我们练得好辛苦哦.可是你们喜欢,我们就觉得一切都值得。」[心]附送第一场 开场12分钟精彩片段http://t.cn/zR5oFCK"
577,1,"【收费赚钱的招数都想尽了！】 烟台公园收费板凳 ，坐前投币,钉子就会下去....."
919,1,马来西亚3月11日请来著名的占卜大师Master Chin，用塔罗牌算出，飞机没坠落，而是落入他人手。 70岁大师占吉卦：塔罗太阳牌 〝太阳牌有出现，代表未来是乐观的。〞他占卜到MH370航班正在被一股未知的组织所控制，而这个组织正在跟另一股力量斗争。〝该未知组织被激怒，可能做出玉石俱焚举动。〞
2874,1,据博友@鄭鄭鄭鄭鄭 爆料【广州警方近日抓获打砸抢罪犯部分资料公布，疑似有日本人恶意煽动】消息未经证实，假的希望辟谣，真的盼望扩散，总之，大家请应理性爱国。
2058,0,今天出门忘记带移动的手机了，刚才看了一下一共收到27条短信：11条卖房广告、4条培训广告、3条发票广告、3条股评、1条银行信息；剩下5条是有用的信息。用了十几年的号码实在舍不得停，每天删除垃圾短信的工作量很大！
737,1,【1亿美元收入的地下暗流：起底搜狗秘密联盟产业链】搜狗导航把低价买进的流量再高价卖出，地下联盟再把搜狗的误导性广告塞进来，形成大量的无效点击，消耗的是大量广告主的广告投放费用@搜狗浏览器 @王小川 http://t.cn/zYYJ1EJ
1371,1,“刘翔的7步上篮法是针对起跑点到第一个高栏的距离13.72米，然而狗屎一样的英国人把第一个高栏改到了13.85米的距离所以刘翔第一脚就踩栏了，这也是导致最后小组有4个人踩栏摔倒，然而那个英国猪练的就是13.85米所以他没摔栏。”@染香 求真相
2866,0,有个中国人在美国打官司，他问美国律师，我能不能给美国法官送一点礼啊？律师说你千万不能这么做，这么做官司就肯定输了。这个中国人说，好，那我明白了。结果他派了一个人化妆成对方当事人去给法官送礼，结果就官司赢了！
1889,0,有没有人和我一样，QQ上有很多这样的好友，从来没有聊过天，但也从来没想过把他们删掉，因为他们都默默地陪伴了我们很多年了。
